region,year,agegrp,pop_thousands,series
china,1979,65-69,18655.938,estimate
china,1979,70-74,12615.398,estimate
china,1979,75-79,7222.2,estimate
china,1979,80-84,3024.951,estimate
china,1979,85-89,885.805,estimate
china,1979,90-94,145.117,estimate
china,1979,95-99,9.594,estimate
china,1980,0-4,102257.379,estimate
china,1980,10-14,132382.638,estimate
china,1980,100+,0.272,estimate
china,1980,15-19,111134.79,estimate
china,1980,20-24,89851.093,estimate
china,1980,25-29,92001.545,estimate
china,1980,30-34,66587.186,estimate
china,1980,35-39,51238.999,estimate
china,1980,40-44,48282.194,estimate
china,1980,45-49,45117.573,estimate
china,1980,5-9,127454.413,estimate
china,1980,50-54,38142.665,estimate
china,1980,55-59,32203.057,estimate
china,1980,60-64,25538.935,estimate
china,1980,65-69,19348.647,estimate
china,1980,70-74,12994.314,estimate
china,1980,75-79,7609.908,estimate
china,1980,80-84,3187.239,estimate
china,1980,85-89,958.874,estimate
china,1980,90-94,156.461,estimate
china,1980,95-99,10.464,estimate
china,1981,0-4,102176.774,estimate
china,1981,10-14,134011.731,estimate
china,1981,100+,0.316,estimate
china,1981,15-19,122488.358,estimate
china,1981,20-24,84522.853,estimate
china,1981,25-29,94603.862,estimate
china,1981,30-34,71551.543,estimate
china,1981,35-39,52488.82,estimate
china,1981,40-44,48452.027,estimate
china,1981,45-49,46113.372,estimate
china,1981,5-9,120912.413,estimate
china,1981,50-54,39089.174,estimate
china,1981,55-59,32905.005,estimate
china,1981,60-64,26208.805,estimate
china,1981,65-69,20056.964,estimate
china,1981,70-74,13304.565,estimate
china,1981,75-79,7944.667,estimate
china,1981,80-84,3403.347,estimate
china,1981,85-89,1033.392,estimate
china,1981,90-94,167.806,estimate
china,1981,95-99,11.571,estimate
china,1982,0-4,104609.204,estimate
china,1982,10-14,135511.405,estimate
china,1982,100+,0.377,estimate
china,1982,15-19,128839.982,estimate
china,1982,20-24,82857.742,estimate
china,1982,25-29,96259.016,estimate
china,1982,30-34,77005.082,estimate
china,1982,35-39,54530.981,estimate
china,1982,40-44,48679.192,estimate
china,1982,45-49,46951.715,estimate
china,1982,5-9,114335.174,estimate
china,1982,50-54,40076.781,estimate
china,1982,55-59,33624.457,estimate
china,1982,60-64,26867.928,estimate
china,1982,65-69,20737.982,estimate
china,1982,70-74,13663.794,estimate
china,1982,75-79,8222.931,estimate
china,1982,80-84,3646.221,estimate
china,1982,85-89,1106.871,estimate
china,1982,90-94,183.518,estimate
china,1982,95-99,12.963,estimate
china,1983,0-4,107404.806,estimate
china,1983,10-14,135058.558,estimate
china,1983,100+,0.442,estimate
china,1983,15-19,129147.936,estimate
china,1983,20-24,88866.049,estimate
china,1983,25-29,96664.251,estimate
china,1983,30-34,82419.967,estimate
china,1983,35-39,57521.748,estimate
china,1983,40-44,48860.505,estimate
china,1983,45-49,47275.434,estimate
china,1983,5-9,107785.787,estimate
china,1983,50-54,41179.211,estimate
china,1983,55-59,34570.051,estimate
china,1983,60-64,27644.216,estimate
china,1983,65-69,21215.746,estimate
china,1983,70-74,14176.248,estimate
china,1983,75-79,8490.405,estimate
china,1983,80-84,3909.5,estimate
china,1983,85-89,1183.292,estimate
china,1983,90-94,204.369,estimate
china,1983,95-99,14.673,estimate
china,1984,0-4,109044.722,estimate
china,1984,10-14,131750.803,estimate
china,1984,100+,0.494,estimate
china,1984,15-19,129623.935,estimate
china,1984,20-24,99299.74,estimate
china,1984,25-29,94050.244,estimate
china,1984,30-34,87042.916,estimate
china,1984,35-39,61178.105,estimate
china,1984,40-44,49425.281,estimate
china,1984,45-49,47155.867,estimate
china,1984,5-9,102929.693,estimate
china,1984,50-54,42384.496,estimate
china,1984,55-59,35365.3,estimate
china,1984,60-64,28636.265,estimate
china,1984,65-69,21568.332,estimate
china,1984,70-74,14798.211,estimate
china,1984,75-79,8812.297,estimate
china,1984,80-84,4182.614,estimate
china,1984,85-89,1259.669,estimate
china,1984,90-94,227.413,estimate
china,1984,95-99,16.534,estimate
china,1985,0-4,111150.945,estimate
china,1985,10-14,126422.18,estimate
china,1985,100+,0.549,estimate
china,1985,15-19,131458.385,estimate
china,1985,20-24,110256.332,estimate
china,1985,25-29,88966.58,estimate
china,1985,30-34,91002.587,estimate
china,1985,35-39,65746.179,estimate
china,1985,40-44,50350.55,estimate
china,1985,45-49,47069.243,estimate
china,1985,5-9,100736.61,estimate
china,1985,50-54,43458.532,estimate
china,1985,55-59,36116.451,estimate
china,1985,60-64,29599.711,estimate
china,1985,65-69,22095.905,estimate
china,1985,70-74,15435.895,estimate
china,1985,75-79,9139.259,estimate
china,1985,80-84,4437.133,estimate
china,1985,85-89,1350.427,estimate
china,1985,90-94,252.071,estimate
china,1985,95-99,18.385,estimate
china,1986,0-4,114073.903,estimate
china,1986,10-14,119983.828,estimate
china,1986,100+,0.622,estimate
china,1986,15-19,133124.82,estimate
china,1986,20-24,121538.855,estimate
china,1986,25-29,83698.978,estimate
china,1986,30-34,93584.383,estimate
china,1986,35-39,70665.825,estimate
china,1986,40-44,51613.942,estimate
china,1986,45-49,47271.011,estimate
china,1986,5-9,100710.774,estimate
china,1986,50-54,44464.365,estimate
china,1986,55-59,37056.718,estimate
china,1986,60-64,30307.892,estimate
china,1986,65-69,22767.374,estimate
china,1986,70-74,16083.795,estimate
china,1986,75-79,9418.999,estimate
china,1986,80-84,4663.203,estimate
china,1986,85-89,1466.701,estimate
china,1986,90-94,277.311,estimate
china,1986,95-99,20.394,estimate
china,1987,0-4,117320.264,estimate
china,1987,10-14,113492.144,estimate
china,1987,100+,0.739,estimate
