region,year,agefrom,ageto,lu,lp,ls,lh,cov_pop,source
seasia,1955,25,34,57.82586656845208,34.94637588130064,5.9749149391420255,1.2579830930583322,28509.0,bl-v3
seasia,1955,35,44,66.57334648443003,27.908082288290828,4.766255694894556,0.7525621154478417,21291.0,bl-v3
seasia,1955,45,54,72.13118286445012,23.082173913043484,4.177673273657288,0.599079283887468,15640.0,bl-v3
seasia,1955,55,64,79.93854992734067,17.04602242059373,2.6099719742578373,0.4131015154660577,9634.0,bl-v3
seasia,1960,15,24,36.879797737987644,46.9091931504507,15.032377311478614,1.1859154310281652,40937.0,bl-v3
seasia,1960,25,34,56.19636275973621,36.83740761478163,5.931953776284683,1.0435473435361455,32148.0,bl-v3
seasia,1960,35,44,62.83456685376147,30.860029587086103,5.396288996214595,0.95257059565766,22983.0,bl-v3
seasia,1960,45,54,70.47814842622005,24.04895581865435,4.565583020502455,0.8738891134854172,17315.0,bl-v3
seasia,1960,55,64,74.18592667277728,21.02547754353804,3.947146654445463,0.8107030247479378,10910.0,bl-v3
seasia,1965,15,24,28.09380969552185,52.8235205426968,17.054217394243988,2.027280430912082,44371.0,bl-v3
seasia,1965,25,34,43.94001181534307,44.51101611950374,9.791259740625089,1.7550775030241654,35547.0,bl-v3
seasia,1965,35,44,56.48003441741754,36.526267063691556,5.853746084535365,1.1419556053985074,25859.0,bl-v3
seasia,1965,45,54,64.91128468487847,29.21270165627016,4.934006775650677,0.9473144762314474,18596.0,bl-v3
seasia,1965,55,64,70.64011323763955,24.38451196172249,4.179332535885167,0.796530303030303,12540.0,bl-v3
seasia,1970,15,24,20.118309387428873,54.90742697292051,22.694082665702485,2.2750139869455177,52549.0,bl-v3
seasia,1970,25,34,31.971526667711434,51.86049548137701,13.48692211252155,2.6485454213028263,38286.0,bl-v3
seasia,1970,35,44,48.76673128501103,42.9436465795281,6.68479477168562,1.6056027839076557,29455.0,bl-v3
seasia,1970,45,54,58.72370971709718,35.040898892988935,5.204204182041821,1.0847630996309963,20325.0,bl-v3
seasia,1970,55,64,66.93678434708636,27.90959449879484,4.3387083510562885,0.8247518786332055,14106.0,bl-v3
seasia,1975,15,24,17.33762911313068,53.70206095267941,26.20389768097775,2.7636673456596688,63820.0,bl-v3
seasia,1975,25,34,25.856570094576796,52.66317945648271,17.974955345384895,3.4967827127977973,41765.0,bl-v3
seasia,1975,35,44,40.66002802314956,47.648846481876326,9.830911666159,1.8585951873286628,32830.0,bl-v3
seasia,1975,45,54,53.26424053644819,39.324556348691324,6.037749080683539,1.372237075492105,23115.0,bl-v3
seasia,1975,55,64,60.79406427221172,32.583989961540965,5.310312235186754,1.311984225278665,15341.0,bl-v3
seasia,1980,15,24,12.021662883781618,53.58605719178547,30.784305557443226,3.5918943419818685,73577.0,bl-v3
seasia,1980,25,34,18.90796335661504,54.03288268043325,22.381529102135847,4.709803826298208,49395.0,bl-v3
seasia,1980,35,44,30.913760792639778,52.760062845010616,13.581846850672328,2.8259620665251237,35325.0,bl-v3
seasia,1980,45,54,49.442221591124245,42.045151652845625,6.699138172592676,1.8241731985308038,26409.0,bl-v3
seasia,1980,55,64,55.454179712884745,36.97520883795121,5.882642523778578,1.6995309269214864,16927.0,bl-v3
seasia,1985,15,24,17.020620512696958,49.04315568833422,29.570809521514963,4.363689587047656,83012.0,bl-v3
seasia,1985,25,34,19.94915510488582,50.58824797530536,24.07978441980881,5.370408755974508,60256.0,bl-v3
seasia,1985,35,44,29.5192519847407,48.96511264047841,17.195922002268276,4.327412362099185,38796.0,bl-v3
seasia,1985,45,54,43.32350437710438,43.48701515151515,10.294456902356904,2.8850525252525245,29700.0,bl-v3
seasia,1985,55,64,54.92378086814254,36.526071373792114,6.4571256199192195,2.092603916355642,19559.0,bl-v3
seasia,1990,15,24,12.857051401002039,49.18671629572222,33.249594162400534,4.683094320675012,91613.0,bl-v3
seasia,1990,25,34,22.082038877749813,48.753956884660774,22.43011134337273,6.670244727898411,70323.0,bl-v3
seasia,1990,35,44,29.043780516557714,47.51571407137498,17.77217597256457,5.603340263637338,46655.0,bl-v3
